title,year,numPages,DOI
Mining eclipse for cross-cutting concerns.,2006,4,10.1145/1137983.1138006
Mining subclassing directives to improve framework reuse.,2010,10,10.1109/MSR.2010.5463347
Do developers discuss design?,2014,4,10.1145/2597073.2597115
Using Large-Scale Anomaly Detection on Code to Improve Kotlin Compiler.,2020,11,10.1145/3379597.3387447
DaSEA - A Dataset for Software Ecosystem Analysis.,2022,5,10.1145/3524842.3528004
Automatically Prioritizing and Assigning Tasks from Code Repositories in Puzzle Driven Development.,2022,2,10.1145/3524842.3528512
Extracting Corrective Actions from Code Repositories.,2022,2,10.1145/3524842.3528517
TerraDS: A Dataset for Terraform HCL Programs.,2025,5,10.1109/MSR66628.2025.00101
Snapshot Testing Dataset.,2023,5,10.1109/MSR59073.2023.00081
Vul4J: A Dataset of Reproducible Java Vulnerabilities Geared Towards the Study of Program Repair Techniques.,2022,5,10.1145/3524842.3528482
Predicting developers' IDE commands with machine learning.,2018,4,10.1145/3196398.3196459
An Empirical Study of End-User Programmers in the Computer Music Community.,2015,11,10.1109/MSR.2015.34
INVocD: identifier name vocabulary dataset.,2013,4,10.1109/MSR.2013.6624056
Leveraging historical versions of Android apps for efficient and precise taint analysis.,2018,5,10.1145/3196398.3196433
How do apps evolve in their permission requests?: a preliminary study.,2017,5,10.1109/MSR.2017.64
What did really change with the new release of the app?,2018,11,10.1145/3196398.3196449
Automatically Granted Permissions in Android apps: An Empirical Study on their Prevalence and on the Potential Threats for Privacy.,2020,11,10.1145/3379597.3387469
Mining Successful Answers in Stack Overflow.,2015,4,10.1109/MSR.2015.56
Mining Bug Repositories for Multi-Fault Programs.,2025,5,10.1109/MSR66628.2025.00023
How developers use the dynamic features of programming languages: the case of smalltalk.,2011,10,10.1145/1985441.1985448
Do Bugs Foreshadow Vulnerabilities? A Study of the Chromium Project.,2015,11,10.1109/MSR.2015.32
Syntax errors just aren't natural: improving error reporting with language models.,2014,10,10.1145/2597073.2597102
The unreasonable effectiveness of traditional information retrieval in crash report deduplication.,2016,12,10.1145/2901739.2901766
Deficient documentation detection: a methodology to locate deficient project documentation using topic analysis.,2013,4,10.1109/MSR.2013.6624005
Mining rule violations in JavaScript code snippets.,2019,5,10.1109/MSR.2019.00039
An Exploratory Study of Log Placement Recommendation in an Enterprise System.,2021,12,10.1109/MSR52588.2021.00027
Fine grained indexing of software repositories to support impact analysis.,2006,7,10.1145/1137983.1138009
Where is bug resolution knowledge stored?,2006,2,10.1145/1137983.1138032
Social interactions around cross-system bug fixings: the case of FreeBSD and OpenBSD.,2011,10,10.1145/1985441.1985463
Identifying Changed Source Code Lines from Version Repositories.,2007,,10.1109/MSR.2007.14
Developing an h-index for OSS developers.,2012,4,10.1109/MSR.2012.6224288
The patch-flow method for measuring inner source collaboration.,2018,11,10.1145/3196398.3196417
A dataset of GitHub Actions workflow histories.,2024,5,10.1145/3643991.3644867
Using Q&A websites as a method for assessing systematic reviews.,2017,5,10.1109/MSR.2017.5
Author entropy vs. file size in the gnome suite of applications.,2009,4,10.1109/MSR.2009.5069484
How swift developers handle errors.,2018,11,10.1145/3196398.3196428
Analyzing the Evolution and Maintenance of ML Models on Hugging Face.,2024,12,10.1145/3643991.3644898
FormalSpecCpp: A Dataset of C++ Formal Specifications created using LLMs.,2025,5,10.1109/MSR66628.2025.00113
ChatGPT in Action: Analyzing Its Use in Software Development.,2024,5,10.1145/3643991.3645077
Insights into Female Contributions in Open-Source Projects.,2023,5,10.1109/MSR59073.2023.00055
Constructing universal version history.,2006,4,10.1145/1137983.1138002
Evaluation of source code copy detection methods on freebsd.,2008,6,10.1145/1370750.1370766
Architecture Smells and Pareto Principle: A Preliminary Empirical Exploration.,2021,5,10.1109/MSR52588.2021.00031
Software-related Slack Chats with Disentangled Conversations.,2020,5,10.1145/3379597.3387493
Exploratory study of slack Q&A chats as a mining source for software engineering tools.,2019,12,10.1109/MSR.2019.00075
Extracting code segments and their descriptions from research articles.,2017,11,10.1109/MSR.2017.10
Empirical Standards for Repository Mining.,2022,2,10.1145/3524842.3528032
npm-miner: an infrastructure for measuring the quality of the npm registry.,2018,4,10.1145/3196398.3196465
Data Augmentation for Supervised Code Translation Learning.,2024,13,10.1145/3643991.3644923
An empirical study of dormant bugs.,2014,10,10.1145/2597073.2597108
A Machine Learning Approach for Vulnerability Curation.,2020,11,10.1145/3379597.3387461
An empirical study on the practice of maintaining object-relational mapping code in Java systems.,2016,12,10.1145/2901739.2901758
Explaining software defects using topic models.,2012,10,10.1109/MSR.2012.6224280
A Dataset of Bot and Human Activities in GitHub.,2023,5,10.1109/MSR59073.2023.00070
Bot Detection in GitHub Repositories.,2022,3,10.1145/3524842.3528520
RABBIT: A tool for identifying bot accounts based on their recent GitHub event history.,2024,5,10.1145/3643991.3644877
Characterization and Prediction of Issue-Related Risks in Software Projects.,2015,12,10.1109/MSR.2015.33
How Do So ware Developers Use ChatGPT? An Exploratory Study on GitHub Pull Requests.,2024,5,10.1145/3643991.3645084
